OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude
448,12954,CONIFEROUS,Juniperus,,,Juniper,16,37,40.0070604,-105.2729994
449,12958,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,16,45,40.00708994,-105.2725665
450,12959,CONIFEROUS,Picea,pungens,,Blue Spruce,16,45,40.00712228,-105.2726082
451,13165,DECIDUOUS,Ulmus,americana,,American Elm,35,77,40.00969979,-105.2755685
452,13230,CONIFEROUS,Picea,pungens,,Blue Spruce,16,50,40.00998893,-105.2763245
453,13236,CONIFEROUS,Picea,pungens,,Blue Spruce,20,38,40.00972475,-105.27582
454,12977,CONIFEROUS,Thuja,,,Arborvitae,8,12,40.00929735,-105.2740213
455,12980,CONIFEROUS,Juniperus,,,Juniper,16,18,40.00942076,-105.2740273
456,12989,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00726838,-105.2725082
457,12995,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00741141,-105.2727951
458,12998,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00723767,-105.272994
459,12958,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.0070831,-105.272571
460,13020,DECIDUOUS,Acer,x freemanii,,Freeman Maple,16,25,40.00959551,-105.2740189
461,13028,CONIFEROUS,Juniperus,,,Juniper,15,20,40.00939864,-105.2744879
462,13030,CONIFEROUS,Picea,pungens,,Blue Spruce,16,35,40.0090173,-105.2742733
463,13037,CONIFEROUS,Abies,concolor,,White Fir,8,20,40.01020013,-105.2747752
464,13426,DECIDUOUS,Quercus,palustris,,Pin Oak,20,40,40.00845201,-105.2740297
465,13435,DECIDUOUS,Acer,saccharinum,,Silver Maple,40,65,40.00888976,-105.2744465
466,13446,DECIDUOUS,Quercus,bicolor,,Swamp White Oak,20,40,40.00876916,-105.2747186
467,13451,DECIDUOUS,Robinia,,,Locust,10,30,40.00876249,-105.2745618
468,13452,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,30,40,40.00879346,-105.2745374
469,13459,CONIFEROUS,Picea,pungens,,Blue Spruce,35,70,40.00847174,-105.2746078
470,13460,CONIFEROUS,Picea,pungens,,Blue Spruce,35,70,40.0085108,-105.2746625
471,13462,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,20,45,40.0085397,-105.2746576
472,13478,CONIFEROUS,Juniperus,,,Juniper,8,30,40.00854466,-105.2747736
473,13313,DECIDUOUS,Ulmus,americana,,American Elm,35,63,40.01025939,-105.2765031
474,13336,DECIDUOUS,Pyrus,,,Pear,20,29,40.00971789,-105.2756736
475,13695,DECIDUOUS,Acer,saccharum,,Sugar maple,5,10,40.00996269,-105.2750086
476,13545,DECIDUOUS,Ulmus,americana,,American Elm,50,70,40.01005396,-105.2733342
477,13797,DECIDUOUS,Pinus,,,Pine,12,0,40.00989022,-105.273232
478,13801,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,12,0,40.01009672,-105.2732579
479,13804,DECIDUOUS,Malus,,,Apple,12,0,40.01003989,-105.2731847
480,13805,DECIDUOUS,Fraxinus,,,Ash,12,0,40.01004118,-105.2732807
481,13807,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,12,0,40.01000075,-105.2732601
482,13823,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,3,10,40.01027063,-105.2731695
483,13826,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,15,15,40.01035183,-105.2736005
484,13827,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,15,20,40.01035176,-105.2735643
485,14157,DECIDUOUS,Acer,,,Maple,6,6,40.01000479,-105.2754679
486,10033,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,38,54,40.0089649,-105.2737864
487,10043,DECIDUOUS,Tilia,cordata,,Little Leaf Linden,34,42,40.00866358,-105.2750716
488,10056,DECIDUOUS,Prunus,,,Flowering fruit trees,9,12,40.00897726,-105.2751922
489,10119,DECIDUOUS,Gingko,biloba,,Gingko,10,10,40.00893703,-105.2714994
490,10124,DECIDUOUS,Acer,saccharinum,,Silver Maple,25,29,40.00843061,-105.272223
491,10126,DECIDUOUS,Quercus,bicolor,,Swamp White Oak,15,22,40.00846437,-105.2725253
