OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude
666,12990,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00729986,-105.2725112
667,12994,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00741384,-105.2727223
668,13016,DECIDUOUS,Rhamnus,,,Buckthorn,18,12,40.00953669,-105.2738046
669,13017,DECIDUOUS,Malus,,,Apple,12,12,40.00945178,-105.2738094
670,13018,DECIDUOUS,Acer,saccharinum,,Silver Maple,35,55,40.00956073,-105.2738817
671,13021,DECIDUOUS,Acer,x freemanii,,Freeman Maple,8,12,40.00953549,-105.2740816
672,13035,CONIFEROUS,Pinus,mugo,,Mugo Pine,20,20,40.01003841,-105.2744436
673,13038,CONIFEROUS,Abies,concolor,,White Fir,16,45,40.0101282,-105.2748932
674,13475,CONIFEROUS,Pinus,mugo,,Mugo Pine,20,51,40.00857213,-105.2749767
675,13305,DECIDUOUS,Acer,rubrum,,Red Maple,20,35,40.00822592,-105.2751458
676,13314,DECIDUOUS,Malus,,,Apple,12,12,40.01039314,-105.2764618
677,13315,DECIDUOUS,Malus,,,Apple,12,16,40.01039347,-105.2763469
678,13331,DECIDUOUS,Ulmus,americana,,American Elm,45,54,40.00994747,-105.2762953
679,13800,DECIDUOUS,Fraxinus,,,Ash,12,0,40.01008905,-105.2732932
680,13802,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,12,0,40.0100577,-105.2732397
681,13821,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,3,10,40.01024888,-105.273141
682,14159,DECIDUOUS,Cercis,canadensis,,Redbud,6,6,40.00997266,-105.2754634
683,14160,DECIDUOUS,Malus,,,Apple,6,6,40.01002079,-105.275589
684,10143,DECIDUOUS,Quercus,macrocarpa,,Bur Oak,29,37,40.00920792,-105.2728465
685,10145,DECIDUOUS,Malus,,,Apple,21,15,40.00931821,-105.2726584
686,10156,DECIDUOUS,Acer,platanoides,,Norway Maple,17,27,40.00928447,-105.272934
687,10032,DECIDUOUS,Catalpa,,,Catalpa,20,65,40.00885225,-105.2737589
688,10040,DECIDUOUS,Tilia,cordata,,Little Leaf Linden,37,45,40.00885592,-105.2735717
689,10123,DECIDUOUS,Quercus,alba,,White Oak,6,11,40.00844611,-105.2720974
690,10135,DECIDUOUS,Quercus,alba,,White Oak,5,8,40.00890708,-105.2720421
691,10244,CONIFEROUS,Pinus,strobiformis,,Southwestern White Pine,32,52,40.00952279,-105.2752546
692,10320,CONIFEROUS,Juniperus,,,Juniper,16,18,40.00968134,-105.274525
693,10333,DECIDUOUS,Acer,saccharinum,,Silver Maple,40,60,40.00957882,-105.2756485
694,10336,DECIDUOUS,Ulmus,americana,,American Elm,35,46,40.01033806,-105.2759972
695,10339,DECIDUOUS,Prunus,,,Flowering fruit trees,20,49,40.01028034,-105.2755611
696,10344,DECIDUOUS,Liriodendron,tulipifera,,Tulip Tree,8,15,40.01031859,-105.2754632
697,10352,DECIDUOUS,Acer,saccharinum,,Silver Maple,60,75,40.01007757,-105.2754581
698,10459,CONIFEROUS,Picea,pungens,,Blue Spruce,16,40,40.00986825,-105.2754197
699,10470,CONIFEROUS,Pinus,nigra,,Austrian Pine,16,38,40.01027229,-105.2758179
700,10481,CONIFEROUS,Picea,pungens,,Blue Spruce,16,41,40.01027617,-105.27526
701,10725,DECIDUOUS,Fraxinus,americana,,White Ash,15,30,40.00871351,-105.2747593
702,10732,DECIDUOUS,Fraxinus,americana,,White Ash,25,50,40.00903838,-105.2742536
703,10735,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,40,75,40.00953403,-105.2731339
704,10780,DECIDUOUS,Fraxinus,americana,,White Ash,15,30,40.01015323,-105.2739543
705,10784,DECIDUOUS,Fraxinus,americana,,White Ash,10,30,40.01004286,-105.2742321
706,10800,DECIDUOUS,Fraxinus,americana,,White Ash,15,35,40.01004382,-105.2737678
707,10834,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,20,30,40.00896435,-105.2757084
708,10924,CONIFEROUS,Juniperus,,,Juniper,10,29,40.00763182,-105.2722861
709,11189,DECIDUOUS,Acer,saccharinum,,Silver Maple,30,60,40.00796393,-105.2725857
710,11191,DECIDUOUS,Quercus,palustris,,Pin Oak,26,56,40.00809071,-105.272314
711,11197,DECIDUOUS,Rhamnus,,,Buckthorn,12,15,40.00820849,-105.2722712
712,11203,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,30,54,40.00806316,-105.2726998
713,11210,CONIFEROUS,Picea,pungens,,Blue Spruce,12,30,40.00773859,-105.2723103
714,11669,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,30,45,40.00842461,-105.2739441
715,11670,DECIDUOUS,Quercus,coccinea,,Scarlet Oak,30,68,40.00904874,-105.2737772
716,11678,CONIFEROUS,Picea,pungens,,Blue Spruce,14,55,40.0091189,-105.2736743
717,11623,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,40,51,40.00935042,-105.2748205
718,11661,DECIDUOUS,Fraxinus,americana,,White Ash,35,52,40.0096928,-105.2758574
719,14156,DECIDUOUS,Acer,platanoides,,Norway Maple,6,6,40.00987523,-105.2754634
720,12372,DECIDUOUS,Quercus,coccinea,,Scarlet Oak,45,54,40.0095019,-105.2725889
721,12331,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,25,50,40.010007,-105.2724681
722,12335,CONIFEROUS,Picea,pungens,,Blue Spruce,20,60,40.01007713,-105.2720146
723,12464,DECIDUOUS,Acer,platanoides,,Norway Maple,33,25,40.00881526,-105.2728325
724,12468,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,25,38,40.00842731,-105.2734101
725,12514,DECIDUOUS,Malus,,,Apple,5,40,40.00718783,-105.2731787
726,12546,CONIFEROUS,Picea,pungens,,Blue Spruce,24,60,40.00812263,-105.27309
727,12617,CONIFEROUS,Abies,concolor,,White Fir,20,62,40.0083133,-105.2739768
728,12621,CONIFEROUS,Pinus,mugo,,Mugo Pine,6,8,40.00849311,-105.2751056
729,12381,DECIDUOUS,Fagus,,,Beech,16,30,40.00960127,-105.27204
730,12392,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,20,39,40.01037771,-105.2726406
731,12394,DECIDUOUS,Acer,platanoides,,Norway Maple,25,40,40.01025798,-105.2730027
732,12914,DECIDUOUS,Cercis,canadensis,,Redbud,16,25,40.00905726,-105.2745044
733,12924,DECIDUOUS,Acer,saccharum,,Sugar Maple,18,25,40.01026781,-105.2746811
734,12932,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,16,35,40.01035796,-105.2746879
735,12741,DECIDUOUS,Crataegus,crusgalli,,Cockspur Hawthorn,6,8,40.00825775,-105.2710256
736,12792,DECIDUOUS,Gingko,biloba,,Gingko,5,12,40.00912718,-105.2722592
737,12795,DECIDUOUS,Crataegus,crusgalli,,Cockspur Hawthorn,8,10,40.00909697,-105.2723709
738,12798,DECIDUOUS,Acer,pseudoplatanus,,Sycamore Maple,16,24,40.00903888,-105.2723798
739,12808,DECIDUOUS,Acer,rubrum,,Red Maple,10,15,40.00932401,-105.2751787
740,12861,CONIFEROUS,Picea,pungens,,Blue Spruce,25,65,40.00917084,-105.2710207
741,12863,CONIFEROUS,Picea,pungens,,Blue Spruce,16,48,40.00916897,-105.2708123
742,12889,CONIFEROUS,Picea,pungens,,Colorado Blue Spruce,16,28,40.00906255,-105.2713403
743,12890,CONIFEROUS,Picea,pungens,,Blue Spruce,18,58,40.00909676,-105.2713747
744,12936,DECIDUOUS,Acer,saccharinum,,Silver Maple,30,45,40.010301,-105.2748992
745,12939,DECIDUOUS,Gymnocladus,dioicus,,Kentucky Coffeetree,20,45,40.01030737,-105.2748025
746,12951,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00989931,-105.274877
747,12961,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,6,20,40.00709355,-105.2726408
748,13214,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,16,48,40.00835645,-105.2752121
749,13215,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,12,30,40.00842678,-105.2752812
750,12975,CONIFEROUS,Picea,pungens,,Blue Spruce,16,30,40.00985278,-105.2734539
751,12984,CONIFEROUS,Juniperus,,,Juniper,15,20,40.00925814,-105.2742384
752,12988,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00724519,-105.2725111
753,12991,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00734583,-105.2725007
754,12997,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00727191,-105.2729839
755,13010,DECIDUOUS,Rhamnus,,,Buckthorn,8,12,40.00709568,-105.2729206
756,13022,DECIDUOUS,Prunus,,,Flowering fruit trees,10,15,40.00960698,-105.2739743
757,13023,DECIDUOUS,Acer,saccharinum,,Silver Maple,20,40,40.00963887,-105.2739365
758,13029,CONIFEROUS,Picea,pungens,,Blue Spruce,16,35,40.00903978,-105.274307
759,13427,DECIDUOUS,Ulmus,americana,,American Elm,40,75,40.00841252,-105.2741229
760,13440,DECIDUOUS,Rhamnus,,,Buckthorn,18,10,40.00856537,-105.274849
761,13465,CONIFEROUS,Picea,pungens,,Blue Spruce,16,40,40.00869288,-105.2745393
762,13472,CONIFEROUS,Juniperus,,,Juniper,20,35,40.00842537,-105.2747549
763,13479,CONIFEROUS,Picea,pungens,,Blue Spruce,16,40,40.00867755,-105.2748723
764,13480,CONIFEROUS,Juniperus,,,Juniper,10,20,40.00867097,-105.2748236
765,13312,DECIDUOUS,Quercus,robur,,English Oak,35,40,40.00917658,-105.2758658
766,13700,DECIDUOUS,Acer,saccharum,,Sugar Maple,4,8,40.00818766,-105.2725514
767,13544,DECIDUOUS,Ulmus,americana,,American Elm,8,20,40.01030426,-105.2728703
768,13803,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,12,0,40.01002234,-105.2732592
769,13812,DECIDUOUS,Rhamnus,,,Buckthorn,12,0,40.00992413,-105.2732313
770,13814,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,10,15,40.01013586,-105.2732202
771,13815,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,3,10,40.01023126,-105.2731808
772,13819,DECIDUOUS,Crataegus,mollis,,Downy Hawthorn,15,20,40.01017259,-105.2731738
773,13830,DECIDUOUS,Taxodium,,,Bald Cypress,15,25,40.01025156,-105.2739641
774,13833,DECIDUOUS,Crataegus,,,Hawthorne,15,20,40.01031641,-105.2742579
775,14027,DECIDUOUS,Catalpa,speciosa,,Western Catalpa,5,10,40.00831462,-105.2727976
776,15693,DECIDUOUS,Acer,saccharum,Caddo,,,,40.00969953,-105.2748892
777,15694,DECIDUOUS,Acer,saccharum,Caddo,Sugar Maple,,12,40.00986183,-105.2751432
