,OBJECTID,Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
744,745,12939,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,20.0,45.0,40.01030737,-105.2748025
745,746,12951,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00989931,-105.274877
746,747,12961,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,6.0,20.0,40.00709355,-105.2726408
747,748,13214,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,16.0,48.0,40.00835645,-105.2752121
748,749,13215,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,12.0,30.0,40.00842678,-105.2752812
749,750,12975,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,30.0,40.00985278,-105.2734539
750,751,12984,CONIFEROUS,Juniperus,Unknown,Juniper,15.0,20.0,40.00925814,-105.2742384
751,752,12988,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00724519,-105.2725111
752,753,12991,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00734583,-105.2725007
753,754,12997,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00727191,-105.2729839
754,755,13010,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00709568,-105.2729206
755,756,13022,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,10.0,15.0,40.00960698,-105.2739743
756,757,13023,DECIDUOUS,Acer,saccharinum,Silver Maple,20.0,40.0,40.00963887,-105.2739365
757,758,13029,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.00903978,-105.274307
758,759,13427,DECIDUOUS,Ulmus,americana,American Elm,40.0,75.0,40.00841252,-105.2741229
759,760,13440,DECIDUOUS,Rhamnus,Unknown,Buckthorn,18.0,10.0,40.00856537,-105.274849
760,761,13465,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,40.0,40.00869288,-105.2745393
761,762,13472,CONIFEROUS,Juniperus,Unknown,Juniper,20.0,35.0,40.00842537,-105.2747549
762,763,13479,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,40.0,40.00867755,-105.2748723
763,764,13480,CONIFEROUS,Juniperus,Unknown,Juniper,10.0,20.0,40.00867097,-105.2748236
764,765,13312,DECIDUOUS,Quercus,robur,English Oak,35.0,40.0,40.00917658,-105.2758658
765,766,13700,DECIDUOUS,Acer,saccharum,Sugar Maple,4.0,8.0,40.00818766,-105.2725514
766,767,13544,DECIDUOUS,Ulmus,americana,American Elm,8.0,20.0,40.01030426,-105.2728703
769,770,13814,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,10.0,15.0,40.01013586,-105.2732202
770,771,13815,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,3.0,10.0,40.01023126,-105.2731808
771,772,13819,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,15.0,20.0,40.01017259,-105.2731738
772,773,13830,DECIDUOUS,Taxodium,Unknown,Bald Cypress,15.0,25.0,40.01025156,-105.2739641
773,774,13833,DECIDUOUS,Crataegus,Unknown,Hawthorne,15.0,20.0,40.01031641,-105.2742579
774,775,14027,DECIDUOUS,Catalpa,speciosa,Western Catalpa,5.0,10.0,40.00831462,-105.2727976
775,776,15693,DECIDUOUS,Acer,saccharum,Unknown,18.0,30.0,40.00969953,-105.2748892
776,777,15694,DECIDUOUS,Acer,saccharum,Sugar Maple,18.0,12.0,40.00986183,-105.2751432
